"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"April 21, 2019","New York",Bronx,"Mosholu Pkwy",1,0,N/A
"April 20, 2019",Mississippi,Natchez,"201-A Morgantown Rd",1,0,N/A
"April 20, 2019",Ohio,Cleveland,"14210 Rexwood Ave",1,0,N/A
"April 15, 2019",Tennessee,Etowah,"Co Rd 609",1,0,N/A
"April 14, 2019",Missouri,"Saint Louis","1700 block of Parktree Ln",1,0,N/A
"April 13, 2019","New York",Yonkers,"358 Nepperhan Ave",1,0,N/A
"April 13, 2019",Kentucky,Lawrenceburg,"1020 Country Estates",1,0,N/A
"April 13, 2019","North Carolina","Rocky Mount","7200 block of Summerlea Place",1,0,N/A
"April 13, 2019",Texas,"Colorado City","300 block of W 6th St",1,0,N/A
"April 13, 2019",Alabama,"Birmingham (Vestavia Hills)","500 Old Town Rd",1,1,N/A
"April 12, 2019",Texas,"Fort Worth","2200 Warfield Ave",1,0,N/A
"April 8, 2019",Georgia,Dallas,"158 Laurelcrest Ln",1,0,N/A
"April 7, 2019",Mississippi,Indianola,"200 block of W Augusta St",1,0,N/A
"April 5, 2019",Alabama,Birmingham,"9637 Westfield Rd",1,0,N/A
"April 3, 2019",Virginia,"Richmond (North Chesterfield)","200 block of Reams Ct",1,0,N/A
"April 3, 2019",Indiana,Gary,"4100 block of Broadway",1,0,N/A
"March 31, 2019",Texas,Belton,"201 Rabern Ct",1,0,N/A
"March 30, 2019",Kansas,Concordia,N/A,1,0,N/A
"March 30, 2019",Georgia,Norcross,"Wynhall Dr",1,0,N/A
"March 25, 2019","New York",Buffalo,"Hoyt St",1,0,N/A
"March 24, 2019",Iowa,Montrose,"2308 280th St",1,0,N/A
"March 22, 2019",Arkansas,Springdale,"Singletree Ave",1,0,N/A
"March 22, 2019","North Carolina",Fayetteville,"3100 Cricket Rd",1,0,N/A
"March 22, 2019",Arizona,Phoenix,"4700 block of West Mitchell Dr",1,0,N/A
"March 20, 2019",Ohio,Mansfield,"1600 block of Frontier Trail",1,0,N/A
"March 20, 2019",Mississippi,Picayune,"601 Richard St",1,0,N/A
"March 19, 2019",Texas,"Tomball (The Woodlands)","1600 block of Sawdust Rd",1,0,N/A
"March 18, 2019",Utah,"Salt Lake City (Kearns)","5007 W 5400 S",1,0,N/A
"March 18, 2019",Texas,Spring,"25000 block of Elmley Place",1,0,N/A
"March 16, 2019",Florida,"Miami Gardens","21200 block of NW 27th Ct",1,0,N/A
"March 14, 2019",Mississippi,Greenville,"247 Crescent St",1,0,N/A
"March 13, 2019",Texas,Houston,"12929 Northwest Fwy",1,0,N/A
"March 11, 2019",Virginia,Evington,"152 Benchmark Dr",1,0,N/A
"March 9, 2019",Michigan,Detroit,"19000 block of Biltmore St",1,0,N/A
"March 9, 2019",Louisiana,"New Orleans","6500 block of Dwyer Rd",1,0,N/A
"March 9, 2019","New Jersey",Barnegat,"91 Gunning River Rd",1,0,N/A
"March 9, 2019",Illinois,Chicago,"7300 block of S Aberdeen St",1,0,N/A
"March 9, 2019",Mississippi,Greenwood,"200 block of N Stone Ave",1,0,N/A
"March 8, 2019",Georgia,Douglasville,"Legend Creek Way",1,0,N/A
"March 7, 2019","West Virginia",Huntington,"6200 block of Wentz Hollow Rd",1,0,N/A
"March 5, 2019",Texas,Midland,"3306 Eagle Cove",1,0,N/A
"March 4, 2019",Missouri,"Saint Louis","8300 block of Flora Ave",1,0,N/A
"February 24, 2019",Ohio,Niles,"5836 US-422",1,0,N/A
"February 20, 2019","South Carolina",Spartanburg,N/A,1,0,N/A
"February 19, 2019",Oregon,Unity,N/A,1,0,N/A
"February 18, 2019",Indiana,Richmond,"2115 Grand Blvd",1,0,N/A
"February 17, 2019",Iowa,Davenport,"2426 N Michigan Ave",1,0,N/A
"February 13, 2019",Louisiana,Marrero,"2000 block of Rue Racine",1,0,N/A
"February 9, 2019",Mississippi,Saucier,"Riceville Rd and McHenry Rd",2,0,N/A
"February 9, 2019",Texas,Houston,"5707 W Airport Blvd",1,0,N/A
"February 9, 2019",Alabama,Troy,"Co Rd 7741 and Needmore Rd",1,0,N/A
"February 7, 2019","South Carolina",Greer,"Bent Creek Dr",1,0,N/A
"February 7, 2019",California,Keene,"CA 58 and Bena Rd",0,0,N/A
"February 5, 2019",Utah,"Salt Lake City (West Valley City)","1347 2320 S",1,0,N/A
"February 5, 2019",Georgia,Waleska,"Moores Mill Ln",1,0,N/A
"February 5, 2019",Texas,"Fort Worth","5370 Blue Mound Rd",1,0,N/A
"February 3, 2019",Georgia,Harlem,"1407 Country Woods Ln",1,0,N/A
"February 3, 2019",California,Firebaugh,"600 block of N. Fairfax Ave",1,0,N/A
"February 1, 2019","New York","Putnam Valley","56 Ridge Avenue",1,0,N/A
"January 27, 2019",Texas,Spring,"Kimberly Glen Ln and Postwood Glen Ln",1,0,N/A
"January 27, 2019",Iowa,Lincoln,"160th Ave and Co Hwy B53",1,0,N/A
"January 24, 2019",Missouri,"Saint Louis","700 block of Dover Pl",1,0,N/A
"January 22, 2019","New York",Syracuse,"921 Ballantyne Rd",1,0,N/A
"January 22, 2019",Texas,Houston,"16900 block of Jenikay Ln",1,0,N/A
"January 21, 2019",Kansas,Wichita,"2201 E MacArthur Rd",1,0,N/A
"January 20, 2019",Michigan,"Houghton Lake",N/A,1,0,N/A
"January 19, 2019",Texas,Temple,"4700 block of Midway Dr",2,0,N/A
"January 19, 2019",Florida,Jacksonville,"6000 block of Toyota Dr",1,0,N/A
"January 19, 2019",Texas,Houston,"2107 Lyndon Creek Ln",1,0,N/A
"January 19, 2019",Texas,Houston,"11600 block of Vinedale Dr",1,0,N/A
"January 18, 2019",Alabama,"Bay Minette","Anderson Blvd",1,0,N/A
"January 17, 2019","South Carolina",Chesnee,"Bill Lattimore Rd",1,0,N/A
"January 17, 2019",Illinois,Romeoville,"Weber Rd and Airport Rd",1,0,N/A
"January 16, 2019",Mississippi,Florence,"600 block of White Rd",1,0,N/A
"January 16, 2019",Pennsylvania,Levittown,"Indigo Rd",1,0,N/A
"January 16, 2019",Georgia,Atlanta,"Springside Dr SE",1,0,N/A
"January 16, 2019","North Carolina","Granite Falls","112 Falls Ave",1,0,N/A
"January 16, 2019",Texas,Houston,"4000 W 34th St",1,0,N/A
"January 14, 2019",Florida,"Altamonte Springs","Lake Mobile Dr",1,0,N/A
"January 13, 2019",Alabama,"Dallas (county)",N/A,1,0,N/A
"January 12, 2019",Louisiana,"New Orleans","6780 Bundy Rd",1,0,N/A
"January 10, 2019",Tennessee,Madison,"201 E Palestine Ave",1,0,N/A
"January 8, 2019",Virginia,Bedford,"Wycliffe St",1,0,N/A
"January 7, 2019",Alabama,Toney,"500 block of  Carter Grove Rd",1,0,N/A
"January 6, 2019",Alabama,Dadeville,"200 block of Centerpoint Rd",1,0,N/A
"January 6, 2019",California,"San Jose","Thistlewood Court",1,0,N/A
"January 5, 2019",Oklahoma,Tulsa,"7902 S Sheridan Rd",1,0,N/A
"January 3, 2019",Kentucky,Henderson,"2200 block of Holloway Lane",1,0,N/A
"January 1, 2019","District of Columbia",Washington,"8th St SE and I St SE",1,0,N/A
"January 1, 2019",Indiana,Gary,"700 block of Kentucky St",1,0,N/A
"December 31, 2018",Georgia,Lawrenceville,"1874 Riverlanding Cir",2,0,N/A
"December 30, 2018",Missouri,"Saint Louis","10400 block of Baron Dr",1,0,N/A
"December 30, 2018",Texas,Dallas,"1207 E Red Bird Ln",1,0,N/A
"December 30, 2018",California,Nipomo,"800 block of Tannis Place",1,0,N/A
"December 26, 2018",Mississippi,Goodman,"91 Cedar Grove Dr",1,0,N/A
"December 26, 2018",Florida,"Lake City","200 block of SE Anastasia St",1,0,N/A
"December 25, 2018","West Virginia","Montana Mines",N/A,1,0,N/A
"December 23, 2018",Florida,"Saint Petersburg","Central Ave and 58th St",1,0,N/A
"December 22, 2018",Texas,"San Antonio","4615 Gardendale",1,0,N/A
"December 22, 2018","South Carolina",Gresham,"SC 908",1,0,N/A
"December 22, 2018",Colorado,"Rocky Ford",N/A,1,0,N/A
"December 21, 2018",Missouri,Newtown,"20570 MO-139",1,0,N/A
"December 20, 2018",Tennessee,Memphis,"4300 block of Eastwind St",1,0,N/A
"December 19, 2018",Missouri,Columbia,"1000 block of Claudell Ln",1,0,N/A
"December 18, 2018",Pennsylvania,Lehighton,"350 Interchange Rd",1,0,N/A
"December 16, 2018","North Carolina","Carthage (Whispering Pines)","1900 block of Airport Rd",1,0,N/A
"December 15, 2018",Oklahoma,Bartlesville,"1700 block of Country Rd",1,0,N/A
"December 15, 2018",Texas,Houston,"13000 block of Duncum St",1,0,N/A
"December 14, 2018",Missouri,Florissant,"13 Holly Ln",1,0,N/A
"December 14, 2018",Mississippi,Waynesboro,"Mississippi Dr and Robinson St",1,0,N/A
"December 14, 2018",California,Bakersfield,"4200 block of Kenny St",1,0,N/A
"December 14, 2018",Michigan,Roseville,"16415 Dort St",1,0,N/A
"December 14, 2018",Louisiana,Alexandria,"3900 block of Baker St",1,0,N/A
"December 11, 2018",Illinois,"Round Lake","600 block of W Nippersink Rd",1,0,N/A
"December 10, 2018",Louisiana,Lafayette,"500 Fisher Rd",1,0,N/A
"December 10, 2018",Tennessee,Nashville,"449 Cedarcliff Rd",1,1,N/A
"December 9, 2018",Iowa,"Marion (county)",N/A,1,0,N/A
"December 9, 2018",Iowa,Pella,"1519 Hwy G 28",1,0,N/A
"December 9, 2018","New York",Waverly,"Miller Hollow Rd",1,0,N/A
"December 9, 2018",Iowa,Urbandale,"4022 70th St",1,0,N/A
"December 9, 2018",Oklahoma,Tulsa,"1130 E 23rd St",1,0,N/A
"December 8, 2018",Pennsylvania,"New Castle","400 block of N Liberty St",1,0,N/A
"December 8, 2018",Illinois,Danville,"800 block of Warrington Ave",1,0,N/A
"December 6, 2018",Florida,Hilliard,"17053 Oak Hill Rd",1,0,N/A
